date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-08-28,0.10173067608079982,0.09617439227429346,0.14204545454545456,28.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-08-29,0.10173067608079982,0.09617439227429346,0.14204545454545456,28.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-08-30,0.10173067608079982,0.09617439227429346,0.14204545454545456,28.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-08-31,0.10173067608079982,0.09617439227429346,0.14204545454545456,28.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-01,0.10173067608079982,0.09617439227429346,0.14204545454545456,29.0,1.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-02,0.10173067608079982,0.09617439227429346,0.14204545454545456,29.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-03,0.10173067608079982,0.09617439227429346,0.14204545454545456,29.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-04,0.10173067608079982,0.09617439227429346,0.14204545454545456,29.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-05,0.10173067608079982,0.09617439227429346,0.14204545454545456,31.0,2.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-06,0.10173067608079982,0.09617439227429346,0.14204545454545456,31.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-07,0.10173067608079982,0.09617439227429346,0.14204545454545456,31.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-08,0.10173067608079982,0.09617439227429346,0.14204545454545456,31.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-09,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,1.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-10,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-11,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-12,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-13,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-14,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-15,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-16,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-17,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-18,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-19,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-20,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-21,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-22,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-23,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-24,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-25,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-26,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-27,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-28,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-29,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-09-30,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-10-01,0.10173067608079982,0.09617439227429346,0.14204545454545456,32.0,0.0,2.0,0.0,0.10523784239509998,0.0,0.0,0.0,0.0
2020-10-02,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-03,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-04,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-05,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-06,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-07,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-08,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-09,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-10,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-11,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-12,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-13,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-14,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-15,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-16,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-17,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-18,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-19,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-20,0.0984942041697395,0.09101788676759073,0.14204545454545456,32.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-21,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,1.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-22,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-23,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-24,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-25,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-26,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-27,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-28,0.0984942041697395,0.09101788676759073,0.14204545454545456,33.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-29,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,1.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-30,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-10-31,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-01,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-02,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-03,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-04,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-05,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-06,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-07,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-08,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-09,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-10,0.0984942041697395,0.09101788676759073,0.14204545454545456,34.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-11,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,1.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-12,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-13,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-14,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-15,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-16,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-17,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-18,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-19,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-20,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-21,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-22,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-23,0.0984942041697395,0.09101788676759073,0.14204545454545456,35.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-24,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,3.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-25,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-26,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-27,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-28,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-29,0.0984942041697395,0.09101788676759073,0.14204545454545456,38.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-11-30,0.0984942041697395,0.09101788676759073,0.14204545454545456,42.0,4.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-01,0.0984942041697395,0.09101788676759073,0.14204545454545456,42.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-02,0.0984942041697395,0.09101788676759073,0.14204545454545456,42.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-03,0.0984942041697395,0.09101788676759073,0.14204545454545456,42.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-04,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,2.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-05,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-06,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-07,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-08,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-09,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-10,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-11,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-12,0.0984942041697395,0.09101788676759073,0.14204545454545456,44.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-13,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,2.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-14,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-15,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-16,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-17,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-18,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-19,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-20,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-21,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-22,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-23,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-24,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-25,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-26,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-27,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-28,0.0984942041697395,0.09101788676759073,0.14204545454545456,46.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-29,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,3.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-30,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2020-12-31,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-01,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-02,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-03,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-04,0.0984942041697395,0.09101788676759073,0.14204545454545456,49.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-05,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,4.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-06,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-07,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-08,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-09,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-10,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-11,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-12,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-13,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-14,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-15,0.0984942041697395,0.09101788676759073,0.14204545454545456,53.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-16,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,2.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-17,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-18,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-19,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-20,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-21,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-22,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-23,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-24,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-25,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-26,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-27,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-28,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-29,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-30,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-01-31,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-01,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-02,0.0984942041697395,0.09101788676759073,0.14204545454545456,55.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-03,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,1.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-04,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-05,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-06,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-07,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-08,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-09,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-10,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-11,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-12,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-13,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-14,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-15,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-16,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-17,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-18,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-19,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-20,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-21,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-22,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-23,0.0984942041697395,0.09101788676759073,0.14204545454545456,56.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-24,0.0984942041697395,0.09101788676759073,0.14204545454545456,57.0,1.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-25,0.0984942041697395,0.09101788676759073,0.14204545454545456,57.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-26,0.0984942041697395,0.09101788676759073,0.14204545454545456,59.0,2.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-27,0.0984942041697395,0.09101788676759073,0.14204545454545456,59.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
2021-02-28,0.0984942041697395,0.09101788676759073,0.14204545454545456,59.0,0.0,2.0,0.0,0.10242332098011017,0.0,0.0,0.0,0.0
